millis,abs_rotations,roll
149893,1389,49.15
149993,1390,49.23
150093,1391,49.24
150193,1392,49.25
150293,1393,49.28
150393,1394,49.27
150493,1395,49.25
150593,1396,49.27
150693,1397,49.32
150793,1398,49.35
150893,1399,49.37
150993,1400,49.35
151093,1401,49.35
151193,1402,49.44
151293,1403,49.47
151393,1404,49.46
151493,1405,49.52
151593,1406,49.58
151693,1407,49.56
151793,1408,49.52
151893,1410,49.52
151993,1411,49.57
152093,1412,49.59
152193,1413,49.60
152293,1413,49.63
152393,1414,49.71
152493,1415,49.73
152593,1416,49.73
152693,1417,49.78
152793,1418,49.77
152893,1419,49.78
152993,1420,49.78
153093,1421,49.73
153193,1422,49.74
153293,1423,49.77
153393,1424,49.78
153493,1425,49.81
153593,1426,49.86
153693,1427,49.85
153793,1428,49.86
153893,1429,49.88
153993,1430,49.85
154093,1431,49.86
154193,1432,49.86
